Filename,Date,Time,Img
pondeli_04_p2_polymer_vsechny_p_bok_d70_2020-11-16_19-16-41-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,19:18:09,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d70_2020-11-16_19-20-25-MWL-Ex(750)-Em(830)_Frgrnd,11/16/2020,19:21:53,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d85_2020-12-02_12-02-34-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,12:04:02,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d85_2020-12-02_12-06-57-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,12:08:26,Frgrnd
pondeli_04_p2_polymer_vsechny_p_bok_d85_2020-12-02_12-11-18-MWL-Ex(750)-Em(830)_Frgrnd,12/02/2020,12:12:46,Frgrnd
pondeli_05_e1_polymer_mys01_bricho_00h_2020-09-07_14-27-12-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:28:32,Frgrnd
pondeli_05_e1_polymer_mys01_bricho_05h_2020-09-07_19-46-37-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:48:05,Frgrnd
pondeli_05_e1_polymer_mys01_l_bok_00h_2020-09-07_14-29-42-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:31:03,Frgrnd
pondeli_05_e1_polymer_mys01_l_bok_05h_2020-09-07_19-49-13-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:50:41,Frgrnd
pondeli_05_e1_polymer_mys01_p_bok_00h_2020-09-07_14-32-14-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:33:33,Frgrnd
pondeli_05_e1_polymer_mys01_p_bok_00h_2020-09-07_14-35-24-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:36:43,Frgrnd
pondeli_05_e1_polymer_mys01_p_bok_05h_2020-09-07_19-40-07-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:41:36,Frgrnd
pondeli_05_e1_polymer_mys01_p_bok_05h_2020-09-07_19-43-08-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,19:44:37,Frgrnd
pondeli_05_e1_polymer_mys02_bricho_00h_2020-09-07_14-49-27-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:50:47,Frgrnd
pondeli_05_e1_polymer_mys02_bricho_05h_2020-09-07_20-10-05-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,20:11:33,Frgrnd
pondeli_05_e1_polymer_mys02_l_bok_00h_2020-09-07_14-52-20-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:53:40,Frgrnd
pondeli_05_e1_polymer_mys02_l_bok_05h_2020-09-07_20-12-45-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,20:14:15,Frgrnd
pondeli_05_e1_polymer_mys02_p_bok_00h_2020-09-07_14-58-32-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,14:59:51,Frgrnd
pondeli_05_e1_polymer_mys02_p_bok_00h_2020-09-07_15-01-16-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,15:02:35,Frgrnd
pondeli_05_e1_polymer_mys02_p_bok_05h_2020-09-07_20-03-28-MWL-Ex(750)-Em(830)_Frgrnd,09/07/2020,20:04:56,Frgrnd
